# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 53.479, -2.245 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/London", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "53.4794892", "lon": "-2.2451148", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-06 00:00,2019-01-06 00:00,0,0,0,2.591
2019-01-06 01:00,2019-01-06 01:00,0,0,0,2.504
2019-01-06 02:00,2019-01-06 02:00,0,0,0,2.408
2019-01-06 03:00,2019-01-06 03:00,0,0,0,2.352
2019-01-06 04:00,2019-01-06 04:00,0,0,0,2.399
2019-01-06 05:00,2019-01-06 05:00,0,0,0,2.661
2019-01-06 06:00,2019-01-06 06:00,0,0,0,3.184
2019-01-06 07:00,2019-01-06 07:00,0,0,0,3.473
2019-01-06 08:00,2019-01-06 08:00,0,0,0.002,3.546
2019-01-06 09:00,2019-01-06 09:00,0.010,0.002,0.019,4.100
2019-01-06 10:00,2019-01-06 10:00,0.041,0.008,0.049,4.908
2019-01-06 11:00,2019-01-06 11:00,0.078,0.019,0.077,5.812
2019-01-06 12:00,2019-01-06 12:00,0.103,0.033,0.090,6.339
2019-01-06 13:00,2019-01-06 13:00,0.080,0.024,0.074,6.295
2019-01-06 14:00,2019-01-06 14:00,0.034,0.009,0.041,5.728
2019-01-06 15:00,2019-01-06 15:00,0.002,0.002,0.008,5.055
2019-01-06 16:00,2019-01-06 16:00,0,0,0,4.904
2019-01-06 17:00,2019-01-06 17:00,0,0,0,4.882
2019-01-06 18:00,2019-01-06 18:00,0,0,0,4.665
2019-01-06 19:00,2019-01-06 19:00,0,0,0,4.448
2019-01-06 20:00,2019-01-06 20:00,0,0,0,4.296
2019-01-06 21:00,2019-01-06 21:00,0,0,0,4.237
2019-01-06 22:00,2019-01-06 22:00,0,0,0,4.590
2019-01-06 23:00,2019-01-06 23:00,0,0,0,4.924
2019-01-07 00:00,2019-01-07 00:00,0,0,0,5.028
2019-01-07 01:00,2019-01-07 01:00,0,0,0,5.227
